Store,0,1
Countdown Airport,8.0,5.0
Countdown Auckland City,9.0,4.0
Countdown Aviemore Drive,8.0,4.0
Countdown Birkenhead,8.0,5.0
Countdown Blockhouse Bay,8.0,3.0
Countdown Botany Downs,9.0,4.0
Countdown Browns Bay,9.0,5.0
Countdown Glenfield,8.0,5.0
Countdown Greenlane,9.0,4.0
Countdown Grey Lynn,9.0,3.0
Countdown Grey Lynn Central,9.0,6.0
Countdown Hauraki Corner,8.0,5.0
Countdown Henderson,8.0,5.0
Countdown Highland Park,8.0,3.0
Countdown Hobsonville,9.0,6.0
Countdown Howick,9.0,4.0
Countdown Kelston,9.0,4.0
Countdown Lincoln Road,9.0,5.0
Countdown Lynfield,9.0,4.0
Countdown Lynmall,7.0,4.0
Countdown Mairangi Bay,9.0,4.0
Countdown Mangere East,8.0,4.0
Countdown Mangere Mall,8.0,4.0
Countdown Manukau,8.0,6.0
Countdown Manukau Mall,9.0,4.0
Countdown Manurewa,9.0,4.0
Countdown Meadowbank,8.0,5.0
Countdown Meadowlands,9.0,3.0
Countdown Metro Albert Street,5.0,0.0
Countdown Metro Halsey Street,4.0,0.0
Countdown Milford,9.0,4.0
Countdown Mt Eden,8.0,5.0
Countdown Mt Roskill,8.0,5.0
Countdown Mt Wellington,9.0,4.0
Countdown Newmarket,8.0,4.0
Countdown Northcote,8.0,5.0
Countdown Northwest,8.0,4.0
Countdown Onehunga,8.0,4.0
Countdown Pakuranga,8.0,4.0
Countdown Papakura,8.0,5.0
Countdown Papatoetoe,9.0,3.0
Countdown Ponsonby,9.0,4.0
Countdown Pt Chevalier,9.0,5.0
Countdown Roselands,9.0,5.0
Countdown St Johns,8.0,4.0
Countdown St Lukes,8.0,3.0
Countdown Sunnynook,9.0,4.0
Countdown Sylvia Park,9.0,4.0
Countdown Takanini,8.0,5.0
Countdown Takapuna,8.0,3.0
Countdown Te Atatu,8.0,4.0
Countdown Te Atatu South,8.0,4.0
Countdown Three Kings,10.0,4.0
Countdown Victoria Street West,10.0,4.0
Countdown Westgate,9.0,6.0
FreshChoice Glen Eden,5.0,0.0
FreshChoice Half Moon Bay,5.0,0.0
FreshChoice Mangere Bridge,5.0,0.0
FreshChoice Otahuhu,4.0,0.0
FreshChoice Ranui,5.0,0.0
SuperValue Avondale,5.0,0.0
SuperValue Flatbush,5.0,0.0
SuperValue Palomino,5.0,0.0
SuperValue Papakura,5.0,0.0
SuperValue Titirangi,5.0,0.0
